6,Clapper: US institutions 'under assault',"Washington (CNN) Former Director of National Intelligence James Clapper issued a stern warning Sunday about the state of the US government after President Donald Trump's decision to fire FBI Director James Comey last week, saying he thinks US institutions are ""under assault.""

""I think in many ways our institutions are under assault both externally -- and that's the big news here is the Russian interference in our election system -- and I think as well our institutions are under assault internally,"" Clapper said on CNN's ""State of the Union.""

Pressed by anchor Jake Tapper if he meant US institutions were under assault internally from the President, Clapper responded, ""Exactly.""

Clapper called on the other branches of the federal government to step up in their roles as a check on the executive.

""The founding fathers, in their genius, created a system of three co-equal branches of government and a built-in system of checks and balances,"" Clapper said. ""I feel as though that is under assault and is eroding.""

Democrats and several Republicans in Congress have publicly mulled pressing the Department of Justice to appoint a special prosecutor or establishing an independent investigative body that could look into allegations of potential collusion between Russia and the Trump campaign in what the US intelligence community says was Moscow's efforts to influence the US election.

The Senate must confirm a new FBI director once Trump names a candidate; that FBI director will take a lead role in the Russia investigation.

Utah Republican Sen. Mike Lee advocated on ""Fox News Sunday"" that Trump appoint Judge Merrick Garland to head the FBI. Josh Holmes, a former aide to Senate Majority Leader Mitch McConnell, said later on the program that the Republican leader had just called him to say he would support Garland for FBI's top spot.

Garland was President Barack Obama's pick to replace Supreme Court Justice Antonin Scalia after Scalia's death last year. If appointed and confirmed as FBI director, Garland's appointment would create a vacancy on the US Circuit Court of Appeals for the District of Columbia, which has jurisdiction over the DC area and federal agencies, making it one of the highest legal authorities in the country short of the Supreme Court.

Can't refute or confirm collusion questions

Clapper also said Sunday that the President and the White House are wrong to cite Clapper's previous Senate testimony on the questions about alleged collusion between the Trump campaign and Russia as proof that no such collusion exists, emphasizing that no one should portray his comments as ""exculpatory"" -- something Trump has done repeatedly on Twitter.

Director Clapper reiterated what everybody, including the fake media already knows- there is ""no evidence"" of collusion w/ Russia and Trump. — Donald J. Trump (@realDonaldTrump) May 8, 2017

When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end? — Donald J. Trump (@realDonaldTrump) May 12, 2017

""The bottom line is I don't know if there was collusion, political collusion,"" Clapper told Tapper. ""I don't know of any evidence to it. So I can't refute it, and I can't confirm it.""

Clapper told NBC in March that he didn't know of any evidence that demonstrated collusion between Russia and the Trump campaign. At a Senate Judiciary subcommittee hearing earlier this month, Clapper clarified that statement, saying he was also unaware of the FBI's investigation into the matter until Comey made it public in March.

At that subcommittee hearing, former acting Attorney General Sally Yates, whom Trump fired in January for refusing to defend his initial temporary ban on visitors from several Muslim-majority countries and suspension of the entry of Syrian refugees, declined to answer the question of whether there was evidence of collusion publicly; in her answer, she also noted that Clapper had been unaware of the FBI investigation.

Clapper said Sunday that his ""standard practice"" as the leader of the intelligence community during the Obama administration was to defer to the FBI on any counterintelligence investigations.

He noted the intelligence community's joint assessment declaring Russia had interfered in the 2016 election did not contain any reporting about political collusion.

""I did not have any evidence,"" Clapper said, again noting he was unaware of the executive branch investigation into allegations of collusion.

Comey and Trump

On Friday, Trump raised eyebrows by tweeting a warning to Comey, whom he fired unexpectedly on Tuesday, about leaking information to the media, saying he ""better hope that there are no 'tapes' of our conversations before he starts leaking to the press.""

In his news briefing later that day, White House press secretary Sean Spicer declined repeatedly to explain what the tweet meant or address questions about whether there were recording devices in the Oval Office.

James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press! — Donald J. Trump (@realDonaldTrump) May 12, 2017

Trump and Comey had a private dinner in the White House on January 27 in which a source close to Comey said the President asked the FBI director to pledge his loyalty, which Comey, who reportedly was taken aback by the request, refused to do.

The dinner was on the same day that Yates went to the White House to warn the administration about since-ousted national security adviser Michael Flynn's potential vulnerability to Russian blackmail and that Trump issued the executive order restricting travel from several majority-Muslim nations.

Clapper said Sunday that he spoke with Comey prior to the dinner while at an event at FBI headquarters in Washington.

""He mentioned to me the invitation he had from the President for dinner,"" Clapper said. ""He was -- my characterization -- uneasy with it both from the standpoint of the optic of compromising his independence and the independence of the FBI.""",cnn
6,Clapper: I don't know if there was collusion - CNN Video,Former DNI James Clapper said he was not aware the FBI was investigating possible collusion between the Trump campaign and Russia until former FBI Director James Comey confirmed the existence of an investigation while testifying before Congress.,cnn
6,Nikki Haley: Trump is CEO of the country - CNN Video,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn
6,Schumer: No new FBI director without a special counsel,"Story highlights Schumer said the need for a special prosecutor was stronger after Trump fired Comey

The senator again called for Sessions to step down as attorney general

Schumer also has requested an IG investigation into any interference in the Russia probe

He called for public testimony from Comey

Washington (CNN) Senate Minority Leader Chuck Schumer said Sunday that the Senate should refuse to confirm a new FBI director until the Department of Justice appoints a special counsel to lead a probe into allegations of collusion between the Trump campaign and Russia.

""I think there are a lot of Democrats who feel that way,"" Schumer said on CNN's ""State of the Union."" ""We'll have to discuss it as a caucus, but I would support that move.""

Virginia Sen. Mark Warner, the top Democrat on the Senate intelligence committee, proposed the idea after President Donald Trump fired FBI Director James Comey last week.

Trump has yet to name his choice to replace Comey, for which interviews have taken place this weekend , and the Justice Department thus far has declined to appoint a special prosecutor. Republicans leading Congress have also declined to compel a special prosecutor or create an independent investigative commission.

Acknowledging Democrats' limited influence in Congress, Schumer told anchor Jake Tapper, ""The key here, of course, is getting some of our Republican colleagues to join us.""

Read More",cnn
6,Donald Trump's disastrously bad week in Washington,"Story highlights Even by Trumpian standards, the wild swings, erratic messaging and general chaos was beyond the pale

The President himself debunked the White House's explanations for why he fired Comey

Trump also sent out tweets that threatened Comey and raised the specter that he might be taping conversations

(CNN) Donald Trump's week started with Sally Yates' damning testimony about Michael Flynn and ended with a series of wild tweets and an ever-changing story about exactly why he chose to fire FBI Director James Comey.

Even by Trumpian standards, the wild swings, erratic messaging and general chaos was beyond the pale -- raising real concerns about whether Trump was losing control of the ship of state.

Start with the testimony of Yates , the one-time acting attorney general, to a Senate subcommittee Monday. She made clear that on two occasions -- once on January 26 and then again on January 27 -- she sought out White House counsel Don McGahn to warn him that national security adviser Michael Flynn had been compromised by the Russians and was a blackmail risk. Trump didn't fire Flynn until 18 days later -- a seemingly inexplicable amount of time given the allegations against him.

On Tuesday -- even as Trump's White House was trying to find an explanation for that 18-day gap -- Trump stunned the political world by firing Comey. He did so by having his former bodyguard deliver a hand-written letter -- in which Trump asserted that Comey had told him on three occasions that he wasn't under investigation(!) -- to the FBI. Comey was in Los Angeles at the time, finding out of his firing the way the rest of us did: on TV.

Trump's White House was entirely unprepared for the firestorm that erupted -- likely because they, like the rest of us, had no idea it was coming. The initial spin offered by the White House, from Vice President Mike Pence on down, was that Trump had acted ""decisively"" after reading a memo from deputy Attorney General Rod Rosenstein that hammered Comey for his conduct in the investigation into Hillary Clinton's private email server.

Read More",cnn
16,'SNL': Nothing matters anymore - CNN Video,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn
16,"Ransomware: Attack hits 150 countries, Europol says world is in 'disaster recovery mode'","The biggest cyberattack the world has ever seen is still claiming victims and threatens to create even more havoc on Monday when people return to work.

The attack is a virus that locks people out of their computer files until they pay a ransom to the hackers.

Experts say the spread of the virus had been stymied by a security researcher in the U.K. Hackers have issued new versions of the virus that cyber security organizations are actively trying to counter and stamp out.

""We will get a decryption tool eventually, but for the moment, it's still a live threat and we're still in disaster recovery mode,"" Rob Wainwright, the head of the European Union's law enforcement agency Europol, told CNN's Becky Anderson on Sunday. He added that the agency is still analyzing the virus and has yet to identify who is responsible for the attack.

The U.K.'s National Cyber Security Centre said Sunday that there have been ""no sustained new attacks"" of the kind that struck Friday.

But the agency added that some infections may not yet have been detected, and that existing infections can spread within networks.

Wainwright said earlier on British TV that the attack was ""unprecedented"" in its reach, with more than 200,000 victims in at least 150 countries.

Organizations around the world spent the weekend trying to recover after being hit by a virus that seeks to seize control of computers until victims pay a ransom.

Hospitals, major companies and government offices were among those that were badly affected. Cybersecurity experts have said the majority of the attacks targeted Russia, Ukraine and Taiwan. But U.K. hospitals, Chinese universities and global firms like Fedex (FDX) also reported they had come under assault.

Related: When should spies tell companies that their systems can be hacked?

U.S. Treasury Secretary Steven Mnuchin, at a meeting in Italy, said Saturday the attack was a reminder of the importance of cybersecurity. ""It's a big priority of mine that we protect the financial infrastructure,"" he said.

Europol's Wainwright underscored the point Sunday. All sectors of the economy were vulnerable and organizations could take lessons from the banking industry, which appeared to have largely escaped the global attack.

""Very few banks if any have been affected because they've learned from painful experience of being the number one target for cybercrime,"" he said on ITV's Peston on Sunday program.

The ransomware, called WannaCry, locks down files on an infected computer and asks the computer's administrator to pay in order to regain control of them. The exploit was leaked last month as part of a trove of NSA spy tools.

Related: How to protect yourself from the ransomware attack

The ransomware is spread by taking advantage of a Windows vulnerability that Microsoft (MSFT, Tech30) released a security patch for in March. But computers and networks that hadn't updated their systems were still at risk.

In the wake of the attack, Microsoft said it had taken the ""highly unusual step"" of releasing a patch for computers running older operating systems including Windows XP, Windows 8 and Windows Server 2003.

The patches won't do any good for machines that have already been hit.

Experts said Sunday it appeared that the ransomware had made just over $32,000, although they expected that number to pop when people went back into the office Monday.

Security agencies have so far not been able to identify who was behind the attack. Wainwright said Europol did not know the motive. He added that ransomware attacks were normally criminal rather than political in nature. ""Remarkably few payments"" had so far been made in response to this attack, he added.

Related: 5 things to know about the attack

WannaCry has already caused massive disruption around the globe.

Sixteen National Health Service organizations in the U.K. were hit, and some of those hospitals canceled outpatient appointments and told people to avoid emergency departments if possible.

Barts Health, which runs five hospitals in London, said Sunday it was still experiencing disruption to its computer systems and it asked for the public to use other NHS services wherever possible.

In China, the internet security company Qihoo360 issued a ""red alert"" saying that a large number of colleges and students in the country had been affected by the ransomware, which is also referred to as WannaCrypt. State media reported that digital payment systems at some gas stations were offline, forcing customers to pay cash.

Related: NSA's powerful Windows hacking tools leaked online

Major global companies said they also came under attack. Fedex said Friday it was ""experiencing interference with some of our Windows-based systems caused by malware."" Two big telecom companies, Telefónica (TEF) of Spain and Megafon of Russia, were also hit, as was Japanese carmaker Nissan (NSANF) in the U.K.

Russia's Interior Ministry acknowledged a ransomware attack on its computers. It said less than 1% of computers were affected, and that the virus was now ""localized"" and being destroyed.

U.K. defense secretary Michael Fallon said Sunday that Britain's nuclear submarines were safe from cyberattack.

Related: How leaked NSA spy tools created a hacking free-for-all

According to Matthew Hickey, founder of the security firm Hacker House, the attack is not surprising, and it shows many organizations do not apply updates in a timely fashion.

When CNNTech first reported the Microsoft vulnerabilities leaked in April, Hickey said they were the ""most damaging"" he'd seen in several years, and warned that businesses would be most at risk.

Consumers who have up-to-date software are protected from this ransomware. Here's how to turn automatic updates on.

It's not the first time hackers have used the leaked NSA tools to infect computers. Soon after the leak, hackers infected thousands of vulnerable machines with a backdoor called DOUBLEPULSAR.

--CNN's James Gray and CNNMoney's Selena Larson contributed to this report.",cnn
16,Global cyberattack: A super-simple explanation of what happened,"Meet WannaCry. Security wonks are calling it the biggest cyberattack ever.

What the attack does

Cyber bad guys have spread ransomware, known as WannaCry, to computers around the world. It locks down all the files on an infected computer. The hackers then demand $300 in order to release control of the files. That's why it's called ransomware.

How it happened

WannaCry takes advantage of a vulnerability in Microsoft Windows.

The software tools to create the attack were revealed in April among a trove of NSA spy tools that were either leaked or stolen. The tools were made public by a hacking group called the Shadow Brokers.

Microsoft released a security patch for the vulnerabilities in March. But many corporations don't automatically update their systems, because Windows updates can screw up their legacy software programs.

The phenomenon of companies failing to update their systems has been a persistent security problem for years. Playing with fire finally caught up with the victims.

Consumers are also at risk. Microsoft requires Windows 10 customers to automatically update their computers, but some people with older PCs disabled automatic updates.

How widespread is the damage

The attack has been found in 150 countries, affecting 200,000 computers, according to Europol, the European law enforcement agency. FedEx, Nissan, and the United Kingdom's National Health Service were among the victims.

In the U.K., hospitals were crippled by the cyberattack, which forced operations to be canceled and ambulances to be diverted.

Also hit were Deutsche Bahn, the Russian Central Bank, Russian Railways, Russia's Interior Ministry, Megafon and Telefónica.

Who is vulnerable

Anyone who hasn't updated their Windows PC recently.

Microsoft said it had taken the ""highly unusual step"" of releasing a patch for computers running older operating systems including Windows XP, Windows 8 and Windows Server 2003. So even people with older computers should go update them.

Apple's Mac computers were not targeted by this ransomware attack so are clear. Bad guys generally target Windows far more than Apple's operating system because there are vastly more computers running Windows around the world.

How to prevent being attacked

According to security company Bitdefender, follow these five steps:

1. Disable your computer's Server Message Block service.

2. Install Microsoft's patch.

3. Back up your data on an offline hard drive.

4. Install all Windows updates.

5. Use a reputable security software to prevent attacks in the future.

Who is behind the attack

The hackers remain anonymous for now, but it appears that they are amateurs. A 22-year old security researcher in the U.K. discovered a ""kill-switch"" to initially stop the spread of the attack. The ease of stopping the attack suggests the hackers were new to this game.

Experts said it appeared that the ransomware had made just over $32,000, although they expected that number to pop when people went back into the office Monday.

What happens next

Computers and networks that hadn't recently updated their systems are still at risk because the ransomware is lurking. And WannaCry threatens to create even more havoc on Monday when people return to work.

Experts say the spread of the virus had been stymied by a security researcher in the U.K. hackers have issued new versions of the virus that cyber security organizations are actively trying to counter and stamp out.

The U.K. government's cyber office put it succinctly: ""[T]he way these attacks work means that compromises of machines and networks that have already occurred may not yet have been detected, and that existing infections from the malware can spread within networks.""",cnn
10,Ransomware cyber-attack threat escalating - Europol,"Media playback is unsupported on your device Media caption How to protect yourself online

Friday's cyber-attack has affected more than 200,000 victims in 150 countries, Europol chief Rob Wainwright says.

He told the BBC the act was ""unprecedented in its scale"" and warned more people could find themselves affected on Monday morning.

The virus took control of users' files, demanding payments; Russia and the UK were among the worst-hit countries.

Experts say another attack could be imminent and have warned people to ensure their security is up to date.

Mr Wainwright said that the ransomware - software that blocks access to data until a ransom is paid - was combined with a worm application - a program that replicates itself in order to spread to other computers.

This, he said, was allowing the ""infection of one computer to quickly spread across the networks"".

He added: ""That's why we're seeing these numbers increasing all the time.""

'Patch before Monday'

Although a temporary fix earlier slowed the infection rate, the attackers had now released a new version of the ransomware, he said.

Companies need to make sure they have updated their systems and ""patched where they should"" before staff arrived for work on Monday morning, the EU law enforcement agency head said.

In England, 48 National Health Service (NHS) trusts reported problems at hospitals, GP surgeries or pharmacies, and 13 NHS organisations in Scotland were also affected.

Media playback is unsupported on your device Media caption Firms must patch their systems before Monday morning, Europol chief warns

What occurred was an ""indiscriminate attack across the world on multiple industries and services"", Mr Wainwright said, including Germany's rail network Deutsche Bahn, Spanish telecommunications operator Telefonica, US logistics giant FedEx and Russia's interior ministry.

However, he said that so far ""remarkably"" few payments had been made by victims of the attack.

BBC analysis of three accounts linked with the global attack suggests the hackers have been paid the equivalent of £22,080.

The Europol chief said his agency was working with the US Federal Bureau of Investigation to find those responsible, and that more than one person was likely to be involved.

The virus exploits a vulnerability in Microsoft Windows software, first identified by the US National Security Agency, experts have said.

After taking computers over, it displayed messages demanding a payment of $300 (£230) in virtual currency Bitcoin to unlock files and return them to the user.

Microsoft released security updates last month to address the vulnerability, with another patch released on Friday.

The UK security researcher known as ""MalwareTech"", who helped to limit the ransomware attack, predicted ""another one coming... quite likely on Monday"".

MalwareTech, who wants to remain anonymous, was hailed as an ""accidental hero"" after registering a domain name to track the spread of the virus, which actually ended up halting it.

The 22-year-old told the BBC it was very important for people to patch their systems as soon as possible.",bbc-news
3,Angela Merkel's CDU 'seizes key state from rivals',"Image copyright Reuters Image caption Armin Laschet, the CDU's top candidate in the region, celebrates after hearing the exit poll

Germany's Christian Democrats (CDU) have unseated the Social Democrats in a key state election, exit polls say.

Chancellor Angela Merkel's CDU is projected to win 34.5% of votes in North Rhine-Westphalia, compared with 30.5% for the Social Democrats (SPD).

It was seen as a test for Mrs Merkel ahead of September's general election.

The SPD has run the state - Germany's most populous - for most of the post-war period. Party leader Martin Schulz said it was a ""hard day"".

Voters were choosing candidates for the state legislature, whose leadership may now change from its current SPD-Green coalition.

The SPD's vote is said to be down by 8.6 percentage points on the last election there in 2012, while the CDU vote is up by almost the same amount.

Mr Schulz had predicted a victory there would make him the next German chancellor - but the victory for Mrs Merkel's party will now give her a boost as she seeks a fourth term.

The first exit polls also predict 12% for the liberal Free Democratic Party (FDP); 6% for the Greens; 7.5% for the far-right Alternative for Germany (AFD); and 5% for The Left.

Image copyright AFP

Schulz loses his shine - Damian McGuinness, BBC News, Berlin

""This is a hard day for social democracy,"" said Martin Schulz, visibly shaken. It is also difficult day for him personally. North Rhine-Westphalia is his home state and traditionally an SPD stronghold.

So although the concrete issues that shaped this election were primarily regional - such as schools, transport and security - this state also matters nationally. It is seen as a bellwether for national elections.

There was a boost in his poll ratings and a surge of excitement when Mr Schulz announced earlier this year that he would challenge Mrs Merkel - it became known as the ""Schulz effect"".

His plan was to win over voters with a down-to-earth approach. But policy proposals have remained vague, and critics say the folksy charm has started to wear thin.

Now that his party has lost three regional elections in a row, the polls are down and the Schulz effect may have vanished as quickly as it came.

Image copyright AFP

The result could also mean the worst election result for the SPD since 1947, Die Welt newspaper reports.

Polls before the vote had suggested the CDU and SDP were neck-and-neck.

But the CDU's campaign - which targeted voters' frustration on issues such as traffic congestion, rising crime and education - appears to have swayed voters.

It promised to improve security, with longer prison terms for offenders and more funds for the police.",bbc-news
